Exercise Name,Main Muscles,Equipment,Movement Pattern,Mechanics,Level,Type,Laterality
3 Part Shoulder Warm-Up,"Rotator Cuff, Shoulders","",Mobility,"",Beginner,endurance,bilateral
45 Degree Hypertension: Glute Focused,Glutes,"","Bilateral (2 Arms and/or 2 Legs), Hip Hinge",Compound,Beginner,strength,bilateral
Ab Roller,Abs,"","Core Anti-Extension, Core",Isolation,Intermediate,endurance,bilateral
Active Leg Lowering,Abs,Bodyweight,"Core Anti-Extension, Unilateral (Single Arm or Leg)",Isolation,Beginner,endurance,bilateral
Active Leg Lowering To Bolster,Abs,Bodyweight,"Core Anti-Extension, Ipsilateral (Same Side Arm & Leg)",Isolation,Beginner,endurance,bilateral
Adductor Barbell Rolling,Adductors,Barbell,Mobility,"",Intermediate,general,bilateral
Adductor Machine,,,,,Beginner,strength,bilateral
Adductor Stretch,Adductors,Bodyweight,Static Stretches,"",Beginner,general,bilateral
Adductor Stretch and Rotation,"Adductors, Middle Back, Shoulders",Bodyweight,Mobility,"",Beginner,general,bilateral
Against Wall Split Stance Calf Stretch,Calves,Bodyweight,Static Stretches,"",Beginner,general,bilateral
Alternate March,Abs,Bodyweight,"Alternating, Core Anti-Extension",Isolation,Beginner,endurance,bilateral
Alternate March - Hips 90 Degrees,Abs,Bodyweight,"Core Anti-Extension, Alternating",Isolation,Beginner,endurance,bilateral
Alternating Barbell Reverse Lunge,"Abductors, Glutes, Quads",Barbell,"Alternating, Lunge",Compound,Intermediate,strength,bilateral
Alternating Deficit Reverse Lunge,"Glutes, Quads","Bodyweight, Box/Step","Alternating, Lunge",Compound,Intermediate,endurance,bilateral
Alternating Dumbbell Curl,Biceps,Dumbbell,Alternating,Isolation,Beginner,strength,bilateral
Alternating Dumbbell Deficit Reverse Lunge,"Glutes, Quads","Dumbbell, Box/Step","Lunge, Alternating",Compound,Intermediate,strength,bilateral
Alternating Dumbbell Lunge,"Glutes, Quads","","Alternating, Lunge",Compound,Intermediate,strength,bilateral
Alternating Dumbbell Reverse Lunge,"Glutes, Quads",Dumbbell,"Lunge, Alternating",Compound,Intermediate,strength,bilateral
Alternating Dumbbell Step Up,"Glutes, Quads","Dumbbell, Box/Step, Bench","Alternating, Lunge",Compound,Intermediate,strength,bilateral
Alternating Dumbbell Zottman Curl,"Forearms, Biceps",Dumbbell,"Elbow Flexion, Alternating",Isolation,Beginner,strength,bilateral
Alternating Flat Dumbbell Press,"Chest, Shoulders, Triceps","Bench, Dumbbell","Horizontal Push, Alternating",Compound,Beginner,strength,bilateral
Alternating Floor Dumbbell Press,"Chest, Shoulders, Triceps",Dumbbell,"Horizontal Push, Alternating",Compound,Beginner,strength,bilateral
Alternating Incline Dumbbell Curl,Biceps,"Bench, Dumbbell","Alternating, Elbow Flexion",Isolation,Beginner,strength,bilateral
Alternating Incline Dumbbell Neutral Curl,Biceps,"Dumbbell, Bench","Elbow Flexion, Alternating",Isolation,Beginner,strength,bilateral
Alternating Incline Dumbbell Press,Chest,"Bench, Dumbbell","Horizontal Push, Alternating",Compound,Beginner,strength,bilateral
Alternating Incline Dumbbell Supinating Curl,Biceps,"Dumbbell, Bench","Elbow Flexion, Alternating",Isolation,Beginner,strength,bilateral
Alternating Incline Dumbbell Zottman Curl,"Biceps, Forearms","Dumbbell, Bench","Elbow Flexion, Alternating",Isolation,Beginner,strength,bilateral
Alternating Leg Lowering - Hover To Tap,Abs,Bodyweight,"Alternating, Core Anti-Extension",Isolation,Intermediate,endurance,bilateral
Alternating Leg Lowering - Slides,Abs,Bodyweight,"Core Anti-Extension, Alternating",Isolation,Intermediate,endurance,bilateral
Alternating Lunge,"Quads, Glutes",Bodyweight,"Lunge, Alternating",Compound,Beginner,endurance,bilateral
Alternating Neutral Dumbbell Curl,Biceps,Dumbbell,"Elbow Flexion, Alternating",Isolation,Beginner,strength,bilateral
Alternating Reverse Lunge,"Glutes, Quads",Bodyweight,"Lunge, Alternating",Compound,Beginner,endurance,bilateral
Alternating Step Up,"Glutes, Quads","Bodyweight, Box/Step, Bench","Alternating, Lunge",Compound,Beginner,endurance,bilateral
Ankle Banded Lateral Walk,Abductors,Short Band,Bilateral (2 Arms and/or 2 Legs),Isolation,Beginner,endurance,bilateral
Anterior Neck Mobilisation - Lacrosse Ball,Neck,Lacrosse Ball,Mobility,Isolation,Beginner,general,bilateral
Assault Bike,,,,,Intermediate,strength,bilateral
Assisted Ab Roller,Abs,"","Core Anti-Extension, Bilateral (2 Arms and/or 2 Legs), Core",Isolation,Beginner,endurance,bilateral
Assisted Hip Airplane,,,,,Beginner,strength,bilateral
Assisted Leg Lowering,Abs,Long Band,"Core Anti-Extension, Alternating",Isolation,Beginner,endurance,bilateral
Assisted Leg Lowering To Bolster,Abs,Long Band,"Core Anti-Extension, Unilateral (Single Arm or Leg)",Isolation,Beginner,endurance,bilateral
B-Stance BB Glute Bridge (Mini Band),Glutes,Barbell,"Hip Hinge, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
B-Stance BB Hip Thrust with Mini Band,"Glutes, Hamstrings","Barbell, Bench","Hip Hinge, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
B-Stance Barbell Hip Thrust,"Glutes, Hamstrings",Barbell,"Hip Hinge, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
B-Stance Barbell RDL,"Glutes, Hamstrings, Lower Back, Middle Back",Barbell,"Hip Hinge, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
B-Stance Bosu Ball BB Glute Bridge,"Glutes, Hamstrings",Barbell,"Hip Hinge, Unilateral (Single Arm or Leg)",Compound,Intermediate,strength,bilateral
B-Stance DB Glute Bridge w Mini Band,"Glutes, Hamstrings","Short Band, Dumbbell","Hip Hinge, Unilateral (Single Arm or Leg)",Compound,Beginner,strength,bilateral
B-Stance Dumbbell Glute Bridge,"Glutes, Hamstrings",Dumbbell,"Unilateral (Single Arm or Leg), Hip Hinge",Compound,Beginner,strength,bilateral
B-Stance Glute Bridge,"Hamstrings, Glutes",Bodyweight,"Hip Hinge, Unilateral (Single Arm or Leg)",Compound,Beginner,endurance,bilateral
B-Stance Glute Bridge (Mini Band),"Glutes, Hamstrings",Bodyweight,"Hip Hinge, Unilateral (Single Arm or Leg)",Compound,Beginner,endurance,bilateral
B-Stance Hip Thrust,"Hamstrings, Glutes","Bodyweight, Bench, Box/Step","Hip Hinge, Unilateral (Single Arm or Leg)",Compound,Beginner,endurance,bilateral
B-Stance Hip Thrust (Mini Band),"Hamstrings, Glutes","Bodyweight, Box/Step, Bench","Hip Hinge, Unilateral (Single Arm or Leg)",Compound,Beginner,endurance,bilateral
B-Stance Kettlebell Glute Bridge,"Chest, Hamstrings",Kettlebell,"Hip Hinge, Unilateral (Single Arm or Leg)",Compound,Beginner,strength,bilateral
B-Stance Leg Press,,,,,"",strength,bilateral
Backward Lean Banded Hip Abduction,Abductors,Short Band,Bilateral (2 Arms and/or 2 Legs),Isolation,Beginner,endurance,bilateral
Ball Slam,"",Medicine Ball,Plyometrics,Compound,Intermediate,strength,bilateral
Band Around Hips - Plank,Abs,Long Band,"Core Anti-Extension, Core Anti-Rotation",Isolation,Intermediate,timed,bilateral
Band Around Hips Side Plank,"Abs, Obliques","","Core Anti-Lateral Flexion, Core Anti-Rotation, Unilateral (Single Arm or Leg)",Isolation,Intermediate,timed,bilateral
Band Assisted Chin Up,"Lats, Biceps, Middle Back",Long Band,"Bilateral (2 Arms and/or 2 Legs), Vertical Pull",Compound,Intermediate,strength,bilateral
Band Assisted Close Grip Chin Up,"Middle Back, Lats, Biceps",Long Band,"Vertical Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,endurance,bilateral
Band Assisted Close Grip Pull Up,"Lats, Middle Back, Biceps",Long Band,"Vertical Pull, Bilateral (2 Arms and/or 2 Legs)",Compound,Intermediate,endurance,bilateral
Band Assisted Dip,"Triceps, Chest, Shoulders",Long Band,"Elbow Flexion, Bilateral (2 Arms and/or 2 Legs)",Compound,Beginner,endurance,bilateral
